Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Benicio Fogaça,84463201690,"Setor da Mata, 633
Sagrada Família
57987086 Carvalho do Campo / CE",(084) 8666 3165,allana22@example.net,"Setor da Mata, 633
Sagrada Família
57987086 Carvalho do Campo / CE","Área Ana Julia Jesus, 3
Vila Madre Gertrudes 4ª Seção
87050521 Freitas / PA",3000,5,sim
Joana Brito,61835096049,"Largo de Guerra, 929
Ipiranga
75692662 Garcia / RS",+55 31 0582 4278,juliapacheco@example.com,"Largo de Guerra, 929
Ipiranga
75692662 Garcia / RS","Viela Joana Santos
Fazendinha
80426-698 Albuquerque Paulista / RS",7000,3,não
Sr. Luiz Henrique Siqueira,32136970446,"Rua de Sampaio, 14
Indaiá
44325495 da Mota de Peixoto / RS",+55 (081) 5210 5841,hazevedo@example.org,"Rua de Sampaio, 14
Indaiá
44325495 da Mota de Peixoto / RS","Recanto Nascimento, 62
Grota
13432-590 Campos Grande / RN",10000,4,não
Isabela Jesus,56365620391,"Viaduto da Cunha
Vila Jardim Alvorada
03747-260 Pinto / TO",+55 51 0607 2278,manuellafreitas@example.net,"Viaduto da Cunha
Vila Jardim Alvorada
03747-260 Pinto / TO","Feira Pimenta, 12
Guaratã
60882085 Vargas / AM",7000,2,não
Lucca Cavalcanti,28381708306,"Fazenda de Souza, 77
Graça
00822-788 Silveira / AP",0800 464 7223,maria-vitoriacirino@example.com,"Fazenda de Souza, 77
Graça
00822-788 Silveira / AP","Trevo Fogaça, 3
Funcionários
90728-131 Araújo de Barbosa / DF",4000,5,não
Lucas Gabriel da Rocha,17548254350,"Estação Gomes, 16
Satelite
78552-431 Cardoso / BA",+55 31 7438-5832,enzo86@example.net,"Estação Gomes, 16
Satelite
78552-431 Cardoso / BA","Praça Paulo Novais, 812
Vila Piratininga
18247-653 Peixoto / AC",9000,4,sim
Sra. Lívia Costa,84338798555,"Lago de Macedo, 1
Pantanal
60522772 Peixoto das Pedras / DF",81 3201-2086,theo98@example.net,"Lago de Macedo, 1
Pantanal
60522772 Peixoto das Pedras / DF","Fazenda de Araújo, 85
Jonas Veiga
28807657 Martins / PI",5000,2,sim
Stephany Rocha,21538551792,"Conjunto Heitor Viana, 187
Santa Amelia
41307-430 Monteiro do Sul / RR",51 8873 2523,almeidaluara@example.net,"Conjunto Heitor Viana, 187
Santa Amelia
41307-430 Monteiro do Sul / RR","Quadra Souza, 40
Vila Inestan
88496148 Moraes de Goiás / CE",4000,5,sim
Antonella Fogaça,13459963300,"Rodovia Olivia Rezende, 9
Conjunto São Francisco De Assis
95112621 Costela de Campos / BA",81 1835 5931,milenanogueira@example.com,"Rodovia Olivia Rezende, 9
Conjunto São Francisco De Assis
95112621 Costela de Campos / BA","Passarela Costela, 58
Engenho Nogueira
76647-521 Garcia / RJ",5000,5,não
Samuel Teixeira,49595920873,"Passarela João Felipe Cavalcanti
Nossa Senhora Aparecida
13600503 da Rocha / PB",11 5690-6514,otto17@example.org,"Passarela João Felipe Cavalcanti
Nossa Senhora Aparecida
13600503 da Rocha / PB","Alameda Cunha, 1
Floresta
05796-186 Albuquerque do Norte / TO",8000,1,não
Brayan Alves,23193368775,"Sítio Nogueira, 20
Aeroporto
50656-825 Moraes / PR",+55 81 5259-5605,breno48@example.net,"Sítio Nogueira, 20
Aeroporto
50656-825 Moraes / PR","Vale Antony Caldeira, 735
Bernadete
54878005 Souza da Praia / RN",5000,3,não
Ian Caldeira,94731370449,"Parque de Almeida, 3
Barroca
25074923 Cardoso do Amparo / AL",31 5927-6156,ksales@example.org,"Parque de Almeida, 3
Barroca
25074923 Cardoso do Amparo / AL","Ladeira de Ribeiro, 442
Lajedo
41493343 Fogaça / MS",8000,1,sim
Gabriela Cirino,48022611102,"Favela Correia, 6
Taquaril
12782-242 Monteiro / MG",+55 (081) 1161-3691,rodriguesmanuela@example.net,"Favela Correia, 6
Taquaril
12782-242 Monteiro / MG","Campo de Oliveira
Novo Ouro Preto
47493714 Marques de Viana / AM",3000,1,não
Liz da Rocha,22518109006,"Aeroporto Yuri Rezende, 889
Delta
91151058 da Rosa dos Dourados / MS",11 5538-7661,pedro-miguelramos@example.net,"Aeroporto Yuri Rezende, 889
Delta
91151058 da Rosa dos Dourados / MS","Rua Melo
Califórnia
06278-562 Dias do Norte / TO",5000,3,não
Gabriel Fonseca,34967890001,"Favela Léo Cirino
Vila Nova Cachoeirinha 3ª Seção
39868-317 Ferreira / MS",11 3911 2058,rribeiro@example.org,"Favela Léo Cirino
Vila Nova Cachoeirinha 3ª Seção
39868-317 Ferreira / MS","Largo da Cruz, 91
Jardim Vitoria
26862593 Albuquerque / CE",7000,1,sim
Apollo da Cruz,17255290840,"Conjunto de Barbosa, 40
Conjunto Floramar
77724427 Cavalcante / MS",+55 (084) 4726-8512,nicolemelo@example.org,"Conjunto de Barbosa, 40
Conjunto Floramar
77724427 Cavalcante / MS","Trecho de Ribeiro, 5
Mirante
54142-547 Costela / RR",6000,2,sim
Marina Machado,78215015736,"Aeroporto Nogueira, 16
Santa Rita
94713-784 Pimenta / TO",+55 (031) 6991-6015,da-motaana-cecilia@example.com,"Aeroporto Nogueira, 16
Santa Rita
94713-784 Pimenta / TO","Viela de das Neves, 846
Xangri-Lá
85894705 Câmara do Sul / GO",7000,5,não
Anthony Gabriel Nunes,36536238473,"Aeroporto Ana Júlia Lima, 657
São Lucas
38382-915 Cavalcanti / AM",81 7398-4284,henry-gabrielleao@example.net,"Aeroporto Ana Júlia Lima, 657
São Lucas
38382-915 Cavalcanti / AM","Avenida de Leão, 89
Jardim Dos Comerciarios
30149677 Freitas / PI",7000,4,sim
Raul Carvalho,46981223843,"Vale Ana Luiza da Luz, 75
Acaba Mundo
29536-493 Lima / MG",71 8673-8540,icaldeira@example.net,"Vale Ana Luiza da Luz, 75
Acaba Mundo
29536-493 Lima / MG","Vale de Sales, 7
Conjunto Minas Caixa
63225-181 Costa / MT",7000,2,sim
Sr. Lorenzo Novaes,45471365641,"Praia Mendes, 8
São José
24511129 Vasconcelos / SC",41 2687 2238,melissa86@example.net,"Praia Mendes, 8
São José
24511129 Vasconcelos / SC","Sítio de das Neves
Vila Ecológica
53784128 Machado / AM",10000,2,sim
Camila Rocha,10532496401,"Praia de Fernandes, 800
Santa Helena
66365125 Costela de Fonseca / CE",11 8380 2903,aurora21@example.org,"Praia de Fernandes, 800
Santa Helena
66365125 Costela de Fonseca / CE","Praça Vasconcelos, 9
Canadá
71827-466 Ferreira / SP",3000,4,sim
Sra. Hellena Cavalcanti,39615087555,"Distrito Rios, 9
Vila Ouro Minas
67249976 Ribeiro dos Dourados / PR",11 7542 5161,cfernandes@example.org,"Distrito Rios, 9
Vila Ouro Minas
67249976 Ribeiro dos Dourados / PR","Vale Pacheco, 32
Vila Puc
23132504 Viana / RR",5000,4,não
Caio Camargo,64902850618,"Lago Lara Duarte, 60
Ipe
86176323 Fernandes da Mata / MA",+55 (061) 3301 8111,barbara63@example.com,"Lago Lara Duarte, 60
Ipe
86176323 Fernandes da Mata / MA","Aeroporto de Cunha, 333
Paulo Vi
11799130 Casa Grande / RJ",3000,2,não
Sr. Luiz Felipe Porto,49779068880,"Pátio de Sampaio, 730
Vila Santa Rosa
72709-465 Casa Grande Grande / MG",(031) 3355-5544,nascimentoana-luiza@example.net,"Pátio de Sampaio, 730
Vila Santa Rosa
72709-465 Casa Grande Grande / MG","Praça Arthur Miguel Aragão, 3
Solimoes
16629918 Cirino de Vieira / MS",9000,1,não
Dra. Bárbara Sales,36314905008,"Alameda Marques, 631
Boa União 2ª Seção
18121002 Guerra do Amparo / DF",+55 (061) 4556 5545,yda-conceicao@example.org,"Alameda Marques, 631
Boa União 2ª Seção
18121002 Guerra do Amparo / DF","Vale de Barros, 644
Pilar
77154363 Cirino dos Dourados / RN",4000,4,sim
José Mendonça,99785883887,"Núcleo Nascimento, 4
Marieta 2ª Seção
03824253 Pacheco / AP",(084) 8328-3278,cecilia75@example.net,"Núcleo Nascimento, 4
Marieta 2ª Seção
03824253 Pacheco / AP","Feira de Moreira, 472
Jaraguá
29071-908 Moreira de Minas / AC",2000,2,não
Benício Barros,58108622098,"Ladeira Enrico Gomes, 34
Pousada Santo Antonio
14948-451 Cunha de Minas / RS",(041) 3280 6205,pastormaria-vitoria@example.net,"Ladeira Enrico Gomes, 34
Pousada Santo Antonio
14948-451 Cunha de Minas / RS","Residencial Viana
Nossa Senhora De Fátima
97820832 Fogaça de Novais / AP",9000,2,não
Maria Luiza Monteiro,77323168004,"Passarela de Cardoso, 37
Vila Esplanada
89487901 Alves / AP",+55 21 3443 8776,pereirakevin@example.org,"Passarela de Cardoso, 37
Vila Esplanada
89487901 Alves / AP","Travessa Liz Correia, 52
Novo Aarão Reis
24294-906 da Paz / ES",1000,2,não
Sr. Thomas Moreira,45395400333,"Chácara Bryan Porto, 48
Laranjeiras
20608671 Siqueira / BA",81 7179-6893,zsa@example.org,"Chácara Bryan Porto, 48
Laranjeiras
20608671 Siqueira / BA","Parque de Marques, 39
Santo Antônio
29027-438 Sousa / RN",2000,4,não
Ana Carolina Macedo,25309419986,"Vale de Macedo
Santa Inês
66999-216 Andrade / ES",+55 84 3023 1706,vpimenta@example.org,"Vale de Macedo
Santa Inês
66999-216 Andrade / ES","Setor Martins, 4
Alto Vera Cruz
05156-283 Casa Grande Alegre / PI",3000,4,não
Liam Fogaça,74391163056,"Praia de Cavalcante, 75
Bairro Das Indústrias Ii
29438430 Pereira / RO",0800 082 2433,daniela55@example.com,"Praia de Cavalcante, 75
Bairro Das Indústrias Ii
29438430 Pereira / RO","Sítio Bárbara Casa Grande, 322
Capitão Eduardo
68082473 Rios / CE",6000,3,não
Mateus Rodrigues,84754082813,"Passarela Juan Barbosa, 913
Pirineus
33093-127 Silva / ES",0500-090-2363,natalia73@example.org,"Passarela Juan Barbosa, 913
Pirineus
33093-127 Silva / ES","Pátio Enzo Gabriel Sales, 9
Vila Pinho
81827-439 Fonseca de Minas / PA",4000,5,sim
Stella Câmara,03103765721,"Recanto Luana da Cruz, 86
Nazare
01163-535 Melo / AC",+55 41 3359-8447,freitashenry-gabriel@example.org,"Recanto Luana da Cruz, 86
Nazare
01163-535 Melo / AC","Conjunto Cavalcante, 272
Juliana
63748-984 Azevedo da Prata / ES",2000,2,não
Liz Alves,58330454526,"Pátio Isadora da Cruz
Nossa Senhora Do Rosário
39922-571 Fernandes do Galho / RS",+55 (071) 4443 8419,mateuslopes@example.net,"Pátio Isadora da Cruz
Nossa Senhora Do Rosário
39922-571 Fernandes do Galho / RS","Ladeira de Albuquerque, 10
Vila Madre Gertrudes 2ª Seção
11866501 Freitas dos Dourados / SP",8000,2,não
Francisco Correia,87350507562,"Sítio Julia Mendes, 310
Renascença
71207-048 Cardoso / RO",+55 (021) 7848-6252,vmarques@example.net,"Sítio Julia Mendes, 310
Renascença
71207-048 Cardoso / RO","Via Gustavo Henrique Novaes
Jardim Felicidade
03658090 Mendes dos Dourados / BA",4000,3,sim
Ravi Costela,69448722771,"Passarela Cassiano, 51
Vila Mangueiras
87666-473 Ribeiro da Serra / MA",+55 81 5801-7960,isaqueguerra@example.org,"Passarela Cassiano, 51
Vila Mangueiras
87666-473 Ribeiro da Serra / MA","Conjunto Henrique Porto, 38
Boa Viagem
75579-321 Sales Paulista / SP",6000,3,não
João Miguel Cavalcante,15274019018,"Colônia Campos, 254
Jardim Atlântico
28293-258 Correia do Oeste / RR",11 9382-8499,joao-lucas24@example.com,"Colônia Campos, 254
Jardim Atlântico
28293-258 Correia do Oeste / RR","Distrito de Guerra
Havaí
92772-893 Teixeira / RJ",9000,2,sim
Ian Cunha,76653550306,"Loteamento Danilo Sousa, 85
Vila Tirol
51254-313 Farias da Prata / SC",61 4853-0051,maria-julia95@example.org,"Loteamento Danilo Sousa, 85
Vila Tirol
51254-313 Farias da Prata / SC","Esplanada de Machado, 941
Betânia
61096095 Peixoto de Melo / MT",8000,4,sim
Josué Novais,02345602582,"Praia Gonçalves, 74
Jardim Felicidade
50349582 Costa / MG",+55 (061) 2163-3569,ccirino@example.org,"Praia Gonçalves, 74
Jardim Felicidade
50349582 Costa / MG","Quadra Alexandre Guerra, 33
Santo Antônio
54883-746 Ramos / MT",8000,1,sim
Lunna Cardoso,78008509351,"Vale Yuri Aparecida, 335
Santa Monica
80946991 Pastor do Campo / TO",+55 (011) 1497 4974,da-rochagiovanna@example.net,"Vale Yuri Aparecida, 335
Santa Monica
80946991 Pastor do Campo / TO","Lagoa Gomes, 72
Leonina
15631799 Lopes / RS",4000,1,não
Lucca Araújo,08882902508,"Avenida Andrade, 24
Santa Rita
94270267 Silveira das Pedras / AP",+55 (021) 7695 0132,ravinascimento@example.com,"Avenida Andrade, 24
Santa Rita
94270267 Silveira das Pedras / AP","Rodovia Farias, 63
Bonfim
06067-691 da Rosa / BA",8000,2,sim
João Souza,89788308030,"Lagoa Campos
Vila Satélite
72868-841 Lima / TO",+55 41 7905 3463,uramos@example.org,"Lagoa Campos
Vila Satélite
72868-841 Lima / TO","Jardim Yuri da Rosa, 3
Vila Copacabana
76862964 Lima da Praia / AP",8000,2,sim
Isabelly da Mota,78068330800,"Viela Sá, 69
Aguas Claras
78563-662 Carvalho / BA",(061) 4832 9703,gustavo-henrique79@example.org,"Viela Sá, 69
Aguas Claras
78563-662 Carvalho / BA","Aeroporto Antony Barros
Cidade Jardim
34265-638 da Mata / SP",8000,3,não
Natália Nogueira,04287782835,"Esplanada de da Paz, 47
Santa Rita De Cássia
94578887 Caldeira / RO",+55 71 3944-8812,qoliveira@example.com,"Esplanada de da Paz, 47
Santa Rita De Cássia
94578887 Caldeira / RO","Feira Luna Farias, 1
Vila Nova Dos Milionarios
20758-876 Correia / BA",8000,4,não
Emanuel Pires,28921117906,"Colônia de Nogueira, 9
Dona Clara
85397182 Porto / BA",+55 (061) 6043-2828,aragaomaria-eduarda@example.net,"Colônia de Nogueira, 9
Dona Clara
85397182 Porto / BA","Condomínio Silva, 45
Nova Floresta
87952271 da Luz / PI",7000,2,não
João Pedro da Mota,56895297613,"Via de da Cunha
Carlos Prates
80053135 Vieira da Serra / RS",+55 41 2387 7606,montenegrodiego@example.net,"Via de da Cunha
Carlos Prates
80053135 Vieira da Serra / RS","Loteamento de Leão, 42
Santa Amelia
81366-408 da Rocha / RO",8000,1,não
Valentim Cavalcanti,89582341309,"Morro Fogaça, 80
Cinquentenário
19092227 Monteiro dos Dourados / MS",(051) 5114-3216,bnascimento@example.org,"Morro Fogaça, 80
Cinquentenário
19092227 Monteiro dos Dourados / MS","Travessa Natália Mendonça, 29
Vila Nova Gameleira 2ª Seção
67785603 Ramos de Cavalcante / RJ",1000,1,sim
Enzo Gabriel Ramos,31814123505,"Estrada Maria Julia Novaes, 74
Satelite
98566-405 Cardoso de Nascimento / PR",71 9011-1940,lpastor@example.org,"Estrada Maria Julia Novaes, 74
Satelite
98566-405 Cardoso de Nascimento / PR","Rodovia de Cavalcante, 38
Conjunto Capitão Eduardo
30240-594 Moraes / RO",7000,2,sim
Lunna Melo,54722597467,"Chácara de Jesus, 61
São Jorge 3ª Seção
36782-433 da Cruz / PE",21 5662 0638,cavalcantigustavo-henrique@example.net,"Chácara de Jesus, 61
São Jorge 3ª Seção
36782-433 da Cruz / PE","Avenida Maria Laura Machado, 36
Nova Floresta
23773-095 Ribeiro / CE",1000,3,não
Letícia Cassiano,20883353908,"Fazenda de Almeida
Vila Da Amizade
59463-351 Fogaça / PR",+55 41 7216 6023,pachecoisabelly@example.com,"Fazenda de Almeida
Vila Da Amizade
59463-351 Fogaça / PR","Vale Henrique Sales, 50
Saudade
23694923 Carvalho / PE",9000,5,sim
Eloá Cavalcante,05725569690,"Quadra Clarice Ribeiro, 57
Vila Piratininga Venda Nova
39188447 Novais do Oeste / MG",71 4363-6984,vicentebrito@example.org,"Quadra Clarice Ribeiro, 57
Vila Piratininga Venda Nova
39188447 Novais do Oeste / MG","Praia Luísa Cavalcanti, 228
Santa Amelia
71486-945 Rodrigues do Sul / PR",2000,4,não
Clara Farias,87732129891,"Feira de Macedo, 48
Chácara Leonina
75015-921 Aparecida do Campo / AM",81 8825 4777,cgarcia@example.org,"Feira de Macedo, 48
Chácara Leonina
75015-921 Aparecida do Campo / AM","Área Cavalcanti, 19
São Gonçalo
15212823 Guerra / AP",5000,2,não
Maria Julia Montenegro,15892018763,"Quadra Olívia Mendonça, 341
Mangueiras
85824-475 Pinto da Praia / RJ",+55 (011) 8060-2193,maria-luizasiqueira@example.com,"Quadra Olívia Mendonça, 341
Mangueiras
85824-475 Pinto da Praia / RJ","Chácara Rocha, 96
Estrela
97489926 Siqueira das Pedras / SC",2000,1,não
Dra. Amanda Ribeiro,31976987891,"Viela Otávio Borges
Vila Aeroporto Jaraguá
01760172 Aparecida / RR",+55 (031) 4969-5383,ana07@example.org,"Viela Otávio Borges
Vila Aeroporto Jaraguá
01760172 Aparecida / RR","Área Asafe Machado, 66
Cabana Do Pai Tomás
24945171 Ramos / RR",2000,1,sim
Maria Isis Peixoto,98804467125,"Área Silva, 17
Vila Nova Gameleira 1ª Seção
56446691 Martins / RN",(081) 6184-6529,peixotoana-clara@example.net,"Área Silva, 17
Vila Nova Gameleira 1ª Seção
56446691 Martins / RN","Sítio Ayla Sá
Maravilha
83349034 Viana / SP",9000,5,sim
Vinicius Freitas,08220958236,"Lagoa Cunha, 237
Candelaria
01261210 Borges de da Rocha / BA",+55 41 7334-5061,costelarafael@example.net,"Lagoa Cunha, 237
Candelaria
01261210 Borges de da Rocha / BA","Lago Pedro Henrique da Conceição, 75
Aparecida
93887-806 Marques / RO",1000,5,não
Vicente Barros,81584836402,"Vereda Pacheco, 138
Vila Ipiranga
33960-240 da Mota do Oeste / AM",+55 84 8523 7753,usilva@example.org,"Vereda Pacheco, 138
Vila Ipiranga
33960-240 da Mota do Oeste / AM","Quadra de Costela, 4
São João Batista
73908-454 Ferreira / MT",6000,3,sim
Letícia da Cruz,25170248477,"Vale de Aragão, 17
Santa Terezinha
63923-008 Novaes da Praia / TO",+55 (061) 9363 8931,azevedothomas@example.com,"Vale de Aragão, 17
Santa Terezinha
63923-008 Novaes da Praia / TO","Área Almeida
Vila Fumec
70269-951 Jesus / PE",4000,1,sim
Lorena da Mata,97019118653,"Loteamento de Ramos, 48
Tirol
76218899 Andrade / ES",+55 21 5043-8208,ana-luiza41@example.com,"Loteamento de Ramos, 48
Tirol
76218899 Andrade / ES","Quadra Aparecida, 488
Camponesa 2ª Seção
05775318 Gomes da Serra / MT",10000,4,sim
Dr. Breno da Rosa,16321904430,"Sítio Guerra, 11
Cônego Pinheiro 1ª Seção
19965-843 Cassiano de Casa Grande / AC",51 8378 6728,benjamin75@example.org,"Sítio Guerra, 11
Cônego Pinheiro 1ª Seção
19965-843 Cassiano de Casa Grande / AC","Núcleo Correia
Candelaria
34434807 Araújo Verde / MT",4000,5,não
Benjamin Campos,21672691539,"Vila de Vieira, 50
Liberdade
33142886 Sousa Paulista / TO",51 6630 6869,ana-carolina42@example.org,"Vila de Vieira, 50
Liberdade
33142886 Sousa Paulista / TO","Feira de da Cruz, 86
Aparecida
38233-228 Dias / GO",8000,1,não
Allana Ferreira,72351367078,"Esplanada de Costela, 12
Santa Tereza
91728-697 da Paz / MA",+55 (021) 9688-2991,aalves@example.com,"Esplanada de Costela, 12
Santa Tereza
91728-697 da Paz / MA","Loteamento de Barbosa, 33
Vila Formosa
38892-173 Montenegro das Pedras / MA",4000,4,sim
Lívia Pires,90904845904,"Campo Bárbara Novaes, 41
Carlos Prates
31987-421 Vieira / RS",+55 84 4853 2447,antonio06@example.com,"Campo Bárbara Novaes, 41
Carlos Prates
31987-421 Vieira / RS","Travessa Vinícius Carvalho, 46
Taquaril
82736-825 Cardoso / PI",4000,3,não
Breno Viana,23330886560,"Viaduto Cassiano
Heliopolis
56808-340 Abreu / AC",(011) 8141 4443,calebe79@example.org,"Viaduto Cassiano
Heliopolis
56808-340 Abreu / AC","Morro Costa, 93
Vila Bandeirantes
42412780 Novaes de Silva / AP",8000,2,não
Liz Borges,93813511984,"Residencial Ravi Barros, 82
Juliana
45295768 Guerra / MS",31 3895-8639,dda-mata@example.com,"Residencial Ravi Barros, 82
Juliana
45295768 Guerra / MS","Trecho de Souza, 1
Lagoinha Leblon
42622-209 da Costa do Oeste / GO",10000,2,sim
Aylla Macedo,05421433055,"Morro Augusto Aragão, 34
Flamengo
20487195 Barbosa da Praia / ES",(081) 8764 2566,yuribarbosa@example.org,"Morro Augusto Aragão, 34
Flamengo
20487195 Barbosa da Praia / ES","Lagoa de Sousa, 4
Belvedere
12268208 Pinto do Oeste / AP",1000,1,não
Valentina da Cunha,66586596804,"Estrada de Barros, 126
São Vicente
25769-114 Borges dos Dourados / PI",(061) 5863-3726,cfreitas@example.com,"Estrada de Barros, 126
São Vicente
25769-114 Borges dos Dourados / PI","Recanto Brito, 28
Marmiteiros
85623883 da Mata / TO",9000,3,não
Melissa Dias,38248345700,"Alameda de Moreira, 182
Belmonte
50038024 Nogueira do Campo / AP",+55 31 2065 2430,luiz-gustavofernandes@example.com,"Alameda de Moreira, 182
Belmonte
50038024 Nogueira do Campo / AP","Campo de Campos, 5
Vila Madre Gertrudes 3ª Seção
34602241 Guerra / MS",5000,4,sim
Luiz Otávio Rodrigues,70245510203,"Trecho Rocha, 63
Cachoeirinha
79692107 da Cunha Alegre / MA",81 0744-7657,joao-miguelmachado@example.com,"Trecho Rocha, 63
Cachoeirinha
79692107 da Cunha Alegre / MA","Morro Cirino, 110
Vila Boa Vista
32244460 Costa / TO",8000,2,não
Isabel Aparecida,34958684530,"Travessa Moraes, 90
Candelaria
16936-505 Farias de Minas / RS",+55 (071) 1168-9997,novaesyasmin@example.org,"Travessa Moraes, 90
Candelaria
16936-505 Farias de Minas / RS","Via Mendonça, 42
Vila Madre Gertrudes 1ª Seção
68748676 Lima da Serra / CE",10000,1,não
Letícia Moreira,16100268103,"Residencial Luiz Felipe Barbosa, 40
Morro Dos Macacos
28488-406 Abreu do Galho / AP",+55 41 0847-8295,ravi-luccaabreu@example.com,"Residencial Luiz Felipe Barbosa, 40
Morro Dos Macacos
28488-406 Abreu do Galho / AP","Vila Souza, 729
Vila Nova Gameleira 2ª Seção
85148-648 Araújo da Prata / RJ",7000,1,não
Benício da Cruz,10609135429,"Praia de Azevedo, 4
Outro
28376080 Fogaça / PB",84 8933-0469,lunnaleao@example.com,"Praia de Azevedo, 4
Outro
28376080 Fogaça / PB","Esplanada Thiago Moreira, 67
Glória
62363-718 Sampaio de Moraes / GO",1000,2,não
Emanuelly da Rocha,99742608505,"Viaduto Lima
Piratininga
88983529 da Paz / SC",+55 51 7322 1813,rvasconcelos@example.com,"Viaduto Lima
Piratininga
88983529 da Paz / SC","Núcleo Aurora Viana, 4
Santa Helena
03343883 da Cunha / RJ",2000,5,não
Ana Vitória Campos,11934323329,"Conjunto de Teixeira
Caiçaras
61874145 Guerra / RN",84 0198 9331,marina83@example.com,"Conjunto de Teixeira
Caiçaras
61874145 Guerra / RN","Estrada Danilo Castro, 96
Satelite
17715295 da Paz / PI",10000,3,sim
Pietra Mendonça,20001100889,"Recanto de Moreira, 48
Atila De Paiva
17669963 Fogaça de Caldeira / AC",(031) 5922-4451,nmonteiro@example.com,"Recanto de Moreira, 48
Atila De Paiva
17669963 Fogaça de Caldeira / AC","Colônia da Rocha, 82
Conjunto Floramar
05904-942 Costa / RJ",4000,1,não
Sra. Isadora Rios,22389274092,"Rodovia Pinto, 23
Lindéia
85935176 Cunha de Melo / RN",+55 (011) 3811 0420,clopes@example.org,"Rodovia Pinto, 23
Lindéia
85935176 Cunha de Melo / RN","Feira Luna Moraes, 85
Califórnia
92437-819 Souza / RN",8000,2,não
Vicente Barros,36205788500,"Morro Camargo
São Francisco Das Chagas
35846680 Cavalcanti de Minas / GO",0800-081-4830,icarvalho@example.org,"Morro Camargo
São Francisco Das Chagas
35846680 Cavalcanti de Minas / GO","Pátio Stella Fernandes
Santa Isabel
80750811 Guerra de Moreira / SE",7000,1,sim
Diego Machado,28326500239,"Ladeira da Rocha
Nova Granada
11283-602 Jesus de Cavalcanti / RJ",+55 61 8419 1628,britoagatha@example.com,"Ladeira da Rocha
Nova Granada
11283-602 Jesus de Cavalcanti / RJ","Rodovia Garcia, 85
Vila Da Luz
57808-219 Pastor / AL",3000,3,sim
Heitor Marques,90538118260,"Feira Rebeca da Mota, 57
Vila Da Amizade
61027-072 Campos / BA",+55 (011) 9744 8300,fabreu@example.com,"Feira Rebeca da Mota, 57
Vila Da Amizade
61027-072 Campos / BA","Estação Francisco da Luz, 94
Ambrosina
52690-679 Costela / AL",7000,2,não
Renan Almeida,80617901491,"Distrito de Alves, 5
Vila Das Oliveiras
93653942 Camargo / GO",+55 81 8355 1426,mda-rosa@example.net,"Distrito de Alves, 5
Vila Das Oliveiras
93653942 Camargo / GO","Sítio de Cunha, 29
Santa Margarida
49282720 Oliveira da Serra / RN",6000,2,não
Luna Sampaio,43483819253,"Colônia Levi Silveira, 71
Vila São Rafael
11347237 Nunes / PR",+55 (084) 1068 5463,camarajose-miguel@example.net,"Colônia Levi Silveira, 71
Vila São Rafael
11347237 Nunes / PR","Estrada de Porto, 35
São Salvador
94728758 Jesus / RJ",6000,2,sim
Lucca Siqueira,87359395082,"Rua Porto, 102
Santa Monica
83591683 Caldeira do Amparo / MT",+55 81 5289-1949,jpereira@example.net,"Rua Porto, 102
Santa Monica
83591683 Caldeira do Amparo / MT","Área de Silveira, 26
Tirol
11226-125 Sales / AL",4000,1,sim
Emanuella Camargo,82898588179,"Estrada de Borges, 309
Esplanada
46181289 Silveira / PI",+55 (021) 0734-2481,fcasa-grande@example.net,"Estrada de Borges, 309
Esplanada
46181289 Silveira / PI","Pátio de Guerra, 1
Floramar
69804931 da Paz da Prata / SC",4000,4,não
Maria Sophia Moura,57602368812,"Morro Novaes, 2
Vila Coqueiral
36198-483 Nascimento de Martins / BA",+55 (021) 7366-5016,camargomaria-fernanda@example.com,"Morro Novaes, 2
Vila Coqueiral
36198-483 Nascimento de Martins / BA","Esplanada Carlos Eduardo Guerra, 23
Vila Esplanada
72017-563 Barbosa / MS",10000,3,não
Sr. Vitor Hugo Gomes,48186204830,"Fazenda de Silva, 13
Satelite
39620939 Aragão / PR",0900 593 3207,kda-conceicao@example.com,"Fazenda de Silva, 13
Satelite
39620939 Aragão / PR","Núcleo de Barbosa, 7
Santa Terezinha
72538049 Caldeira do Galho / DF",7000,2,sim
Maria Sophia Guerra,18570322094,"Rodovia Garcia, 51
Piraja
29517158 Barbosa / RN",0500-428-8223,agathapacheco@example.com,"Rodovia Garcia, 51
Piraja
29517158 Barbosa / RN","Residencial de da Mota, 70
Vila Trinta E Um De Março
73444108 Garcia da Mata / PI",6000,4,sim
José Almeida,90090556719,"Campo de Garcia, 868
Granja De Freitas
00201448 Souza Grande / BA",+55 (021) 8304-0036,arthur-gabriel15@example.net,"Campo de Garcia, 868
Granja De Freitas
00201448 Souza Grande / BA","Viaduto Cassiano
Vila Da Luz
47904-949 Dias / CE",4000,1,sim
Mariana Pires,66882068707,"Favela Gabriel Aragão
Parque São José
83071527 Moura do Campo / MS",31 0201-1075,benicio83@example.org,"Favela Gabriel Aragão
Parque São José
83071527 Moura do Campo / MS","Praça de Costela, 1
Marieta 3ª Seção
18652-502 Ribeiro / PI",8000,5,não
